URL;Title;Type;Description;Short Description;Visibility;Show when out of stock;Width;Height;Depth;Diameter;SEO Title;SEO Keywords;SEO Description;Notes;Image 1;Image 1 Alt Text;Image 2;Image 2 Alt Text;Image 3;Image 3 Alt Text;Categories;Vendor;Collections;Tags;Variant Image;Variant Image Alt Text;Variant UUID;Variant SKU;Variant Barcode;Variant Quantity;Track inventory;Variant Buy if empty;Variant Purchase Price;Variant Promotion Price;Variant Regular Price;Variant Weight;Tax;Variant Property Name 1;Variant Property Value 1;Variant Property Hex 1;Variant Property Name 2;Variant Property Value 2;Variant Property Hex 2;Variant Property Name 3;Variant Property Value 3;Image 4;Image 4 Alt Text;Image 5;Image 5 Alt Text;Image 6;Image 6 Alt Text;Image 7;Image 7 Alt Text;Image 8;Image 8 Alt Text;Variant Property Hex 3;;;
dluga-satynowa-koszula-nocna;Długa satynowa koszula nocna;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;81f56040-70c2-490b-aae6-29cb95e9bd26;202405-1;202405;0;1;1;0;479;479;0;23.00;Kolor;zielony;;Rozmiar;S;#000000;Materiał;satyna;;;;;;;;;;;;;;
dluga-satynowa-koszula-nocna;Długa satynowa koszula nocna;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;fc34f904-be45-45e0-adbc-b84c96ec2b2d;202405-2;202405;1;1;1;0;479;479;0;23.00;Kolor;zielony;;Rozmiar;M;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
dluga-satynowa-koszula-nocna;Długa satynowa koszula nocna;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;ee6e46e7-2088-4b1d-8b5f-4b53d377ce6c;202405-3;202405;4;1;1;0;479;479;0;23.00;Kolor;zielony;;Rozmiar;L;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
dluga-satynowa-koszula-nocna;Długa satynowa koszula nocna;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;d5e1aaa8-bcb5-4218-a7a3-9d97c44e08f5;202405-4;202405;2;1;1;0;479;479;0;23.00;Kolor;zielony;;Rozmiar;XL;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
dluga-satynowa-koszula-nocna;Długa satynowa koszula nocna;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/aba9/3838-202405-psozerzone.jpg;Długa satynowa koszula nocna;330a8e87-bf5c-42c7-8504-5c2461bc413a;202405-5;202405;0;1;1;0;479;479;0;23.00;Kolor;zielony;;Rozmiar;XXL;#a97d70;Materiał;satyna;;;;;;;;;;;;;;
dlugi-satynowy-szlafrok-ze-wzorem-w-palmowe-liscie;Długi satynowy szlafrok ze wzorem w palmowe liście;physical;"<p>Elegancki satynowy szlafrok damski o długości do kostek z jedwabistej włoskiej satyny. Prosty fason – szerokie rękawy typu kimono i pasek w talii są tłem dla pięknego druku w duże, ale jednocześnie delikatne i eleganckie liście. W środku troczki ułatwiające regulację.</p>
<p>Długość w rozmiarze M: 136 cm<br>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)<br>Skład: 100% satyna<br>
Indeks: 202406<br></p>


";<p>Elegancki satynowy szlafrok damski o długości do kostek z jedwabistej włoskiej satyny.</p>;1;1;;;;;Długi satynowy szlafrok ze wzorem w palmowe liście;satynowy,szlafrok,satynowy szlafrok,długi szlafrok,palmera;Długi satynowy szlafrok ze wzorem w palmowe liście;;https://cdn.shoplo.com/0380/products/orig/abaa/3840-202406-poszerzone.jpg;Długi satynowy szlafrok;;;;;"Nowości;Produkty > Szlafroki;Produkty";COEMI;Wiosna Lato 2020;satynowy,szlafrok,satynowy szlafrok,długi szlafrok,palmera,prezentdlamamy,szlafrok2020,maj2020;https://cdn.shoplo.com/0380/products/orig/abaa/3840-202406-poszerzone.jpg;Długi satynowy szlafrok;3561bd00-b5bb-4591-9cba-689bd2afd0a0;202406;202406;1;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS/S ;;Materiał;satyna;;;;;;;;;;;;;;
dlugi-satynowy-szlafrok-ze-wzorem-w-palmowe-liscie;Długi satynowy szlafrok ze wzorem w palmowe liście;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abaa/3840-202406-poszerzone.jpg;Długi satynowy szlafrok;690a6005-c12e-46ed-84b9-294c102311da;202406-1;202406;0;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;M/L;#000000;Materiał;satyna;;;;;;;;;;;;;;
dlugi-satynowy-szlafrok-ze-wzorem-w-palmowe-liscie;Długi satynowy szlafrok ze wzorem w palmowe liście;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abaa/3840-202406-poszerzone.jpg;Długi satynowy szlafrok;09a436d2-49fc-4476-a711-eddd3ce098cc;202406-2;202406;-1;1;1;0;549;549;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XL/XXL;#000000;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-do-spania;Satynowy komplet do spania;physical;"<p>Damski satynowy komplet nocny. Ta letnia piżama składa się z topu ozdobionego przy dekolcie koronką w dopasowanym do tkaniny kolorze. Cienkie regulowane ramiączka łączą się z tyłu tworząc linię pleców w stylu oryginalnej bokserki. Całość dopełniają proste, krótkie szorty w gumkę. Piękny roślinny motyw przywodzi na myśl ciepłe, letnie dni. </p>
<p>Długość w rozmiarze M: top - 63 cm, szorty - 30 cm<br>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)<br>Skład: 100% satyna<br>Indeks: 202408</p>


";<p>Damski satynowy komplet nocny.</p>;1;1;;;;;Satynowy komplet do spania;satynowy,komplet do spania,palmera,top,satynowe szorty;Satynowy komplet do spania;;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;https://cdn.shoplo.com/0380/products/orig/abac/3144-202408-1.jpg;Satynowy komplet do spania;;;"Nowości;Produkty > Piżamy;Produkty;Produkty > Komplety;Pomysł na prezent";COEMI;Wiosna Lato 2020;satynowy,komplet do spania,palmera,top,satynowe szorty,piżama2020,maj2020;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;a996c4c3-f3a1-49d3-a3d6-eb4cd40bc24a;202408;202408;-1;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS;#fce5ef;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-do-spania;Satynowy komplet do spania;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;99e521de-f900-4cee-88a8-17d676b29a61;202408-1;202408;2;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;S;#000000;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-do-spania;Satynowy komplet do spania;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;ee95b4f2-aad1-4878-996f-9ad0af70ee9a;202408-2;202408;1;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;M;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-do-spania;Satynowy komplet do spania;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;aadd9337-8cdb-4740-9a92-e3a3da9229dd;202408-3;202408;1;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;L;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-do-spania;Satynowy komplet do spania;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;c785c7fb-7bdd-4653-bc73-ffca8412667c;202408-4;202408;1;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XL;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
satynowy-komplet-do-spania;Satynowy komplet do spania;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abac/3842-202408-poszerzone.jpg;Satynowy komplet do spania;00232966-d724-4cf8-9d01-4d4eeece10c9;202408-5;202408;1;1;1;0;419;419;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XXL;#a97d70;Materiał;satyna;;;;;;;;;;;;;;
top-na-cienkich-ramiaczkach-z-wloskiej-satyny;Satynowy top na ramiączkach;physical;"<p>Delikatny, zwiewny top na cienkich, regulowanych ramiączkach uszyty z włoskiej, delikatnej satyny. Z przodu ażurowa koronka w dopasowanym odcieniu, a z tyłu wariacja na temat bokserki. Letni wzór w zielone liście dopełnia wakacyjne skojarzenia. Top można połączyć z szortami lub szerokimi spodniami, uszytymi z tej samej satyny. Takie połączenie doskonale sprawdzi się nie tylko jako komplet do spania, ale również jako codzienna, wakacyjna stylizacja.&nbsp;</p>
<p>Długość w rozmiarze M: 63 cm</p>
<p>Dostępne kolory:  palmowe liście w stonowanej zieleni na jasnym waniliowym tle (Palmera)</p>
<p>Skład: 100% satyna</p>
<p>Indeks: 202403</p>";;1;1;;;;;Top na cienkich ramiączkach z włoskiej satyny;satynowy top,palmera,na ramiączkach;Top na cienkich ramiączkach z włoskiej satyny;;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;https://cdn.shoplo.com/0380/products/orig/abae/3150-202408-1-1.jpg;satynowy top na ramiączkach;https://cdn.shoplo.com/0380/products/orig/abae/3146-202403-1.jpg;satynowy top na ramiączkach;"Nowości;Produkty;Produkty > Topy";COEMI;Wiosna Lato 2020;satynowy top,top,palmera,na ramiączkach,maj2020;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;dd8dd6c1-2bea-4181-8df0-07c5c18270fd;202403;202403;0;1;1;0;250;250;0;23.00;Kolor;zielony;#5BC154;Rozmiar;XS;#fce5ef;Materiał;satyna;;;;;;;;;;;;;;
top-na-cienkich-ramiaczkach-z-wloskiej-satyny;Satynowy top na ramiączkach;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;a303a89f-0ae8-4b4c-aa02-f6e0ac2c6fc8;202403-1;202403;1;1;1;0;250;250;0;23.00;Kolor;zielony;#5BC154;Rozmiar;S;#000000;Materiał;satyna;;;;;;;;;;;;;;
top-na-cienkich-ramiaczkach-z-wloskiej-satyny;Satynowy top na ramiączkach;;;;;;;;;;;;;;;;;;;;;;;;https://cdn.shoplo.com/0380/products/orig/abae/3148-202408-2.jpg;satynowy top na ramiączkach;57c85e0e-0c30-42d6-bde5-ba110b6d505c;202403-2;202403;0;1;1;0;250;250;0;23.00;Kolor;zielony;#5BC154;Rozmiar;M;#ffffff;Materiał;satyna;;;;;;;;;;;;;;
